Sample size,Part 1,Part 2
10,135284427,14055125
10,1488161,4465948
10,2018840,2857272
10,2001023,2803931
10,1998737,2466387
10,1619366,1742629
10,834349,1872383
10,823835,1836247
10,821033,1788020
10,492570,1857229
10,822593,1980759
10,785495,1729338
10,783282,1725221
10,805794,1876682
10,795256,1389813
10,828242,2201050
10,776614,1489173
10,810953,1874799
10,864644,1835835
10,461050,1955005
10,818218,1716142
10,867379,1685907
10,834415,1730454
10,845494,1430324
10,821330,2196489
10,809223,1343210
10,12053020,1820838
10,602957,1602264
10,573503,1586223
10,587007,1592096
10,569589,1581773
10,596595,1598687
10,569527,1586158
10,588648,1586375
10,580738,1611491
10,588173,1577282
10,589286,1565844
10,588619,1542139
10,607582,1600295
10,688323,1566837
10,566835,1571364
10,553359,1577243
10,563405,1578292
10,571632,1575516
10,582009,1571448
10,565334,1582435
10,564419,1518911
10,569380,1526811
10,570811,1519450
10,566404,1516522
100,1566208,2966597
100,1264797,2885387
100,1102399,3297014
100,1448240,2994525
100,1479550,2913226
100,1454094,1997513
100,1444728,1883017
100,1020448,1892194
100,1118488,2243045
100,1411669,1800190
100,1415749,2269372
100,1376501,1471138
100,1037181,2270887
100,1387252,1805910
100,1396074,1831861
100,1453895,1870742
100,1434825,1799477
100,1403832,1748081
100,1051789,2117921
100,1422437,1786805
100,1419808,1800090
100,1429928,2155567
100,1392268,1454235
100,1054326,2261141
100,1387537,1809071
100,1403138,1802593
100,1413101,1876638
100,1400991,1893303
100,1040585,2264421
100,1394836,2992095
100,1464138,1915487
100,1433090,2250406
100,1409114,1542282
100,1052965,2353346
100,1408297,1880847
100,1366399,1865860
100,1418095,1959354
100,1417535,1953830
100,1028669,1859200
100,1056903,2107979
100,1400795,1789726
100,1402004,2098811
100,1377376,1462574
100,1016826,2201911
100,1373956,1761300
100,1382740,1785085
100,1400587,1766245
100,1393730,1865914
100,1403223,1767730
100,1034853,2271445
1000,11055547,5725358
1000,9718417,5408934
1000,8630552,5424026
1000,8755146,5334499
1000,8631402,5380772
1000,8994939,5097284
1000,9523286,5657126
1000,9308202,5429131
1000,9077036,5164149
1000,9876338,5332106
1000,9019327,5074415
1000,9145671,5186800
1000,9005733,5244962
1000,9158786,5201194
1000,9073774,5096948
1000,9149012,5036182
1000,9071402,5136197
1000,9036720,5265227
1000,9096180,5313077
1000,8980464,5157978
1000,8972266,5194092
1000,8965657,5061226
1000,9366138,5208956
1000,9023584,5069180
1000,9672773,5468649
1000,9032177,5062421
1000,8719141,5011298
1000,9178698,5819428
1000,9195023,5339493
1000,9154359,5203555
1000,9030967,5096065
1000,9778646,5336933
1000,9058802,5148621
1000,9066933,5100171
1000,9046686,5142287
1000,8936380,4992665
1000,9162518,5066832
1000,9064493,5074286
1000,9107343,5203277
1000,9113046,5274761
1000,9316999,5243525
1000,9366050,5195765
1000,9066785,5073482
1000,9067832,5213599
1000,9090434,5109227
1000,9120332,5234844
1000,9039274,5250427
1000,9038648,5151508
1000,9094656,5287873
1000,9098896,5226369
10000,95514400,29718910
10000,93658525,30159158
10000,91691490,29706414
10000,100999882,30386043
10000,90693959,27660229
10000,91493166,28585253
10000,90675272,27805258
10000,90586000,28090160
10000,91384291,27556208
10000,90906296,28145862
10000,90474239,28301933
10000,90401673,27553862
10000,90743195,27799924
10000,90524984,27641439
10000,90637289,27986282
10000,90840994,27852757
10000,90810517,27995741
10000,90778847,28093061
10000,90996763,28176635
10000,90585326,30617738
10000,91262073,28011938
10000,91341181,28312937
10000,93013309,28628358
10000,91341796,28129411
10000,94339798,28642674
10000,91553315,27994463
10000,91081437,27989070
10000,90522284,27986385
10000,90320998,28172759
10000,91593092,27996512
10000,90730317,28200558
10000,90515747,28317033
10000,90705432,27935388
10000,90736921,27816561
10000,96558020,28223667
10000,90375826,28358867
10000,91878780,28151665
10000,90719007,27814284
10000,90666275,27866190
10000,90419144,27788198
10000,90734182,28004603
10000,90616574,28169933
10000,92475872,27704917
10000,90173424,28408202
10000,91316443,28233296
10000,90730727,27933756
10000,91701227,27826054
10000,90907099,27800386
10000,90609060,28161235
10000,91153630,27879417
100000,979852835,326727414
100000,964344419,327938423
100000,959557303,334360850
100000,958945089,340479974
100000,961954313,318430842
100000,962382749,318301307
100000,967192712,318757998
100000,967632478,319428963
100000,960222801,324544714
100000,968353868,322337061
100000,971183217,321608407
100000,972858959,321336024
100000,963373601,322526881
100000,973367663,322937416
100000,959068474,320753976
100000,963789517,319913980
100000,976017046,319724657
100000,959776447,321427913
100000,964666608,321169380
100000,967168434,320738430
100000,964090715,321088581
100000,958488156,322493333
100000,968358060,320646164
100000,962878209,319546790
100000,974431960,321686613
100000,962535793,323175747
100000,971561881,326564681
100000,974994872,326047818
100000,972859045,324519187
100000,968867525,323186704
100000,968394945,325147810
100000,970784629,323465715
100000,969830110,323380938
100000,978457791,324365942
100000,969244434,323443537
100000,972097141,324258806
100000,974106815,322077627
100000,972655462,323520485
100000,974516829,322385775
100000,979235483,319668253
100000,965027666,323513741
100000,961554788,320349890
100000,961656763,320392665
100000,967062393,321219926
100000,963997332,319226282
100000,967562056,319961870
100000,964833223,319434386
100000,976188373,319254364
100000,961540072,322501540
100000,959661662,319903898
